date,stock,company,price,last_dt,fresh,signal,score,target
2026-06-01,COMI.CA,Commercial International Bank,131.75,2026-06-01,True,Ignore,0,147.56
2026-06-01,TMGH.CA,Talaat Moustafa Group,97.1,2026-06-01,True,Ignore,0,108.75
2026-06-01,ETEL.CA,Telecom Egypt,97.97,2026-06-01,True,Ignore,0,109.73
2026-06-01,EGAL.CA,Egypt Aluminum,328.06,2026-06-01,True,Ignore,0,367.43
2026-06-01,EAST.CA,Eastern Company,37.15,2026-06-01,True,Ignore,34,41.61
2026-06-01,ABUK.CA,Abou Kir Fertilizers,83.6,2026-06-01,True,Ignore,0,93.63
2026-06-01,ORAS.CA,Orascom Construction,,,False,,0,
2026-06-01,EFIH.CA,e-finance,22.25,2026-06-01,True,Ignore,0,24.92
2026-06-01,ADIB.CA,Abu Dhabi Islamic Bank Egypt,48.34,2026-06-01,True,Ignore,0,54.14
2026-06-01,FWRY.CA,Fawry,20.49,2026-06-01,True,Ignore,0,22.95
2026-06-01,EMFD.CA,Emaar Misr,11.78,2026-06-01,True,Ignore,0,13.19
2026-06-01,PHDC.CA,Palm Hills Developments,15.96,2026-06-01,True,Ignore,0,17.88
2026-06-01,ORHD.CA,Orascom Development Egypt,38.91,2026-06-01,True,Ignore,0,43.58
2026-06-01,EFID.CA,Edita Food Industries,29.1,2026-06-01,True,Ignore,0,32.59
2026-06-01,HRHO.CA,EFG Holding,27.72,2026-06-01,True,Ignore,19,31.05
2026-06-01,JUFO.CA,Juhayna Food Industries,29.0,2026-06-01,True,Ignore,0,32.48
2026-06-01,BTFH.CA,Beltone Holding,3.16,2026-06-01,True,Ignore,0,3.54
2026-06-01,RAYA.CA,Raya Holding,7.5,2026-06-01,True,Ignore,0,8.4
2026-06-01,GBCO.CA,GB Corp,26.69,2026-06-01,True,Ignore,32,29.89
2026-06-01,HELI.CA,Heliopolis Housing,6.7,2026-06-01,True,Ignore,0,7.5
2026-06-01,ARCC.CA,Arabian Cement,58.47,2026-06-01,True,Ignore,0,65.49
2026-06-01,MCQE.CA,Misr Cement Qena,197.09,2026-06-01,True,Ignore,0,220.74
2026-06-01,ORWE.CA,Oriental Weavers,23.25,2026-06-01,True,Ignore,0,26.04
2026-06-01,ISPH.CA,Integrated Diagnostics,11.69,2026-06-01,True,Ignore,0,13.09
2026-06-01,RMDA.CA,Rameda Pharmaceuticals,5.15,2026-06-01,True,Ignore,0,5.77
2026-06-01,OIH.CA,October for Urban Development,1.47,2026-06-01,True,Ignore,0,1.65
2026-06-01,CCAP.CA,QALA For Financial Investments,5.44,2026-06-01,True,Ignore,0,6.09
2026-06-01,COMI.CA,Commercial International Bank,131.75,2026-06-01,True,Ignore,0,147.56
2026-06-01,TMGH.CA,Talaat Moustafa Group,97.1,2026-06-01,True,Ignore,0,108.75
2026-06-01,ETEL.CA,Telecom Egypt,97.97,2026-06-01,True,Ignore,0,109.73
2026-06-01,EGAL.CA,Egypt Aluminum,328.06,2026-06-01,True,Ignore,0,367.43
2026-06-01,EAST.CA,Eastern Company,37.15,2026-06-01,True,Ignore,34,41.61
2026-06-01,ABUK.CA,Abou Kir Fertilizers,83.6,2026-06-01,True,Ignore,0,93.63
2026-06-01,ORAS.CA,Orascom Construction,,,False,,0,
2026-06-01,EFIH.CA,e-finance,22.25,2026-06-01,True,Ignore,0,24.92
2026-06-01,ADIB.CA,Abu Dhabi Islamic Bank Egypt,48.34,2026-06-01,True,Ignore,0,54.14
2026-06-01,FWRY.CA,Fawry,20.49,2026-06-01,True,Ignore,0,22.95
2026-06-01,EMFD.CA,Emaar Misr,11.78,2026-06-01,True,Ignore,0,13.19
2026-06-01,PHDC.CA,Palm Hills Developments,15.96,2026-06-01,True,Ignore,0,17.88
2026-06-01,ORHD.CA,Orascom Development Egypt,38.91,2026-06-01,True,Ignore,0,43.58
2026-06-01,EFID.CA,Edita Food Industries,29.1,2026-06-01,True,Ignore,0,32.59
2026-06-01,HRHO.CA,EFG Holding,27.72,2026-06-01,True,Ignore,19,31.05
2026-06-01,JUFO.CA,Juhayna Food Industries,29.0,2026-06-01,True,Ignore,0,32.48
2026-06-01,BTFH.CA,Beltone Holding,3.16,2026-06-01,True,Ignore,0,3.54
2026-06-01,RAYA.CA,Raya Holding,7.5,2026-06-01,True,Ignore,0,8.4
2026-06-01,GBCO.CA,GB Corp,26.69,2026-06-01,True,Ignore,32,29.89
2026-06-01,HELI.CA,Heliopolis Housing,6.7,2026-06-01,True,Ignore,0,7.5
2026-06-01,ARCC.CA,Arabian Cement,58.47,2026-06-01,True,Ignore,0,65.49
2026-06-01,MCQE.CA,Misr Cement Qena,197.09,2026-06-01,True,Ignore,0,220.74
2026-06-01,ORWE.CA,Oriental Weavers,23.25,2026-06-01,True,Ignore,0,26.04
2026-06-01,ISPH.CA,Integrated Diagnostics,11.69,2026-06-01,True,Ignore,0,13.09
2026-06-01,RMDA.CA,Rameda Pharmaceuticals,5.15,2026-06-01,True,Ignore,0,5.77
2026-06-01,OIH.CA,October for Urban Development,1.47,2026-06-01,True,Ignore,0,1.65
2026-06-01,CCAP.CA,QALA For Financial Investments,5.44,2026-06-01,True,Ignore,0,6.09
2026-06-01,COMI.CA,Commercial International Bank,131.75,2026-06-01,True,Ignore,0,147.56
2026-06-01,TMGH.CA,Talaat Moustafa Group,97.1,2026-06-01,True,Ignore,0,108.75
2026-06-01,ETEL.CA,Telecom Egypt,97.97,2026-06-01,True,Ignore,0,109.73
2026-06-01,EGAL.CA,Egypt Aluminum,328.06,2026-06-01,True,Ignore,0,367.43
2026-06-01,EAST.CA,Eastern Company,37.15,2026-06-01,True,Ignore,34,41.61
2026-06-01,ABUK.CA,Abou Kir Fertilizers,83.6,2026-06-01,True,Ignore,0,93.63
2026-06-01,ORAS.CA,Orascom Construction,,,False,,0,
2026-06-01,EFIH.CA,e-finance,22.25,2026-06-01,True,Ignore,0,24.92
2026-06-01,ADIB.CA,Abu Dhabi Islamic Bank Egypt,48.34,2026-06-01,True,Ignore,0,54.14
2026-06-01,FWRY.CA,Fawry,20.49,2026-06-01,True,Ignore,0,22.95
2026-06-01,EMFD.CA,Emaar Misr,11.78,2026-06-01,True,Ignore,0,13.19
2026-06-01,PHDC.CA,Palm Hills Developments,15.96,2026-06-01,True,Ignore,0,17.88
2026-06-01,ORHD.CA,Orascom Development Egypt,38.91,2026-06-01,True,Ignore,0,43.58
2026-06-01,EFID.CA,Edita Food Industries,29.1,2026-06-01,True,Ignore,0,32.59
2026-06-01,HRHO.CA,EFG Holding,27.72,2026-06-01,True,Ignore,19,31.05
2026-06-01,JUFO.CA,Juhayna Food Industries,29.0,2026-06-01,True,Ignore,0,32.48
2026-06-01,BTFH.CA,Beltone Holding,3.16,2026-06-01,True,Ignore,0,3.54
2026-06-01,RAYA.CA,Raya Holding,7.5,2026-06-01,True,Ignore,0,8.4
2026-06-01,GBCO.CA,GB Corp,26.69,2026-06-01,True,Ignore,32,29.89
2026-06-01,HELI.CA,Heliopolis Housing,6.7,2026-06-01,True,Ignore,0,7.5
2026-06-01,ARCC.CA,Arabian Cement,58.47,2026-06-01,True,Ignore,0,65.49
2026-06-01,MCQE.CA,Misr Cement Qena,197.09,2026-06-01,True,Ignore,0,220.74
2026-06-01,ORWE.CA,Oriental Weavers,23.25,2026-06-01,True,Ignore,0,26.04
2026-06-01,ISPH.CA,Integrated Diagnostics,11.69,2026-06-01,True,Ignore,0,13.09
2026-06-01,RMDA.CA,Rameda Pharmaceuticals,5.15,2026-06-01,True,Ignore,0,5.77
2026-06-01,OIH.CA,October for Urban Development,1.47,2026-06-01,True,Ignore,0,1.65
2026-06-01,CCAP.CA,QALA For Financial Investments,5.44,2026-06-01,True,Ignore,0,6.09
